key,fullName,email,passportNumber,dateOfBirth,specialNeeds,draftMode,key:customer
# base entity
passenger-00,"Lorem ipsum dolor sit amet,consectetu",acme@lorem-ipsum.org,US39N3HE,2012/07/02 0:00,"Lorem ipsum dolor sit amet,consectetu",false,customer-01
# fullName - standard variations,"","","","","",""
passenger-01,L,acme@lorem-ipsum.org,US39N3HE,2012/07/02 0:00,"Lorem ipsum dolor sit amet,consectetu",false,customer-01
passenger-02,Lo,acme@lorem-ipsum.org,US39N3HE,2012/07/02 0:00,"Lorem ipsum dolor sit amet,consectetu",false,customer-01
passenger-03,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",acme@lorem-ipsum.org,US39N3HE,2012/07/02 0:00,"Lorem ipsum dolor sit amet,consectetu",false,customer-01
passenger-04,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",acme@lorem-ipsum.org,US39N3HE,2012/07/02 0:00,"Lorem ipsum dolor sit amet,consectetu",false,customer-01
passenger-05,โลเร็ม อิปซัม,acme@lorem-ipsum.org,US39N3HE,2012/07/02 0:00,"Lorem ipsum dolor sit amet,consectetu",false,customer-01
passenger-06,لوريم إيبسوم,acme@lorem-ipsum.org,US39N3HE,2012/07/02 0:00,"Lorem ipsum dolor sit amet,consectetu",false,customer-01
passenger-07,洛伦·伊普森,acme@lorem-ipsum.org,US39N3HE,2012/07/02 0:00,"Lorem ipsum dolor sit amet,consectetu",false,customer-01
passenger-08,<marquee>Hacked</marquee>,acme@lorem-ipsum.org,US39N3HE,2012/07/02 0:00,"Lorem ipsum dolor sit amet,consectetu",false,customer-01
passenger-09,<script>alert(‘Hacked!’);</script>,acme@lorem-ipsum.org,US39N3HE,2012/07/02 0:00,"Lorem ipsum dolor sit amet,consectetu",false,customer-01
passenger-10,'' or 'A' = 'A,acme@lorem-ipsum.org,US39N3HE,2012/07/02 0:00,"Lorem ipsum dolor sit amet,consectetu",false,customer-01
# email - standard variations
passenger-11,"Lorem ipsum dolor sit amet,consectetu",a@b.e,US39N3HE,2012/07/02 0:00,"Lorem ipsum dolor sit amet,consectetu",false,customer-01
passenger-12,"Lorem ipsum dolor sit amet,consectetu",a@b.es,US39N3HE,2012/07/02 0:00,"Lorem ipsum dolor sit amet,consectetu",false,customer-01
passenger-13,"Lorem ipsum dolor sit amet,consectetu",a@b.esx,US39N3HE,2012/07/02 0:00,"Lorem ipsum dolor sit amet,consectetu",false,customer-01
